File,Class
1_1.mat,0.20003453
1_2.mat,0.20907277
1_3.mat,0.22135210
1_4.mat,0.24348599
1_5.mat,0.21180558
1_6.mat,0.27061775
1_7.mat,0.20861706
1_8.mat,0.25831217
1_9.mat,0.21943825
1_10.mat,0.22310317
1_11.mat,0.27702677
1_12.mat,0.24689534
1_13.mat,0.28556842
1_14.mat,0.32568705
1_15.mat,0.21081826
1_16.mat,0.20702827
1_17.mat,0.20022288
1_18.mat,0.26431257
1_19.mat,0.25833005
1_20.mat,0.22841194
1_21.mat,0.23346245
1_22.mat,0.18849275
1_23.mat,0.31636786
1_24.mat,0.23459196
1_25.mat,0.36790267
1_26.mat,0.27116057
1_27.mat,0.21659586
1_28.mat,0.22512850
1_29.mat,0.33518478
1_30.mat,0.26295114
1_31.mat,0.21723332
1_32.mat,0.32675195
1_33.mat,0.28646454
1_34.mat,0.23181015
1_35.mat,0.20907983
1_36.mat,0.23814580
1_37.mat,0.24922286
1_38.mat,0.28286564
1_39.mat,0.21685329
1_40.mat,0.22369048
1_41.mat,0.22415480
1_42.mat,0.20565528
1_43.mat,0.23497829
1_44.mat,0.43401200
1_45.mat,0.21547078
1_46.mat,0.26281077
1_47.mat,0.23870164
1_48.mat,0.27689695
1_49.mat,0.23652118
1_50.mat,0.21934810
1_51.mat,0.31235993
1_52.mat,0.26092348
1_53.mat,0.27080959
1_54.mat,0.20223422
1_55.mat,0.29084766
1_56.mat,0.24711137
1_57.mat,0.27745581
1_58.mat,0.32021782
1_59.mat,0.23708856
1_60.mat,0.21856499
1_61.mat,0.29760784
1_62.mat,0.20550629
1_63.mat,0.29732487
1_64.mat,0.21894813
1_65.mat,0.21418816
1_66.mat,0.29495734
1_67.mat,0.21217494
1_68.mat,0.24729577
1_69.mat,0.20752044
1_70.mat,0.23018786
1_71.mat,0.30775142
1_72.mat,0.30458829
1_73.mat,0.34348437
1_74.mat,0.26275396
1_75.mat,0.19648691
1_76.mat,0.30874395
1_77.mat,0.21362793
1_78.mat,0.19528508
1_79.mat,0.22943339
1_80.mat,0.27134606
1_81.mat,0.25199029
1_82.mat,0.24682102
1_83.mat,0.24929363
