File,Class
1_1.mat,0.10339436
1_2.mat,0.07594520
1_3.mat,0.08127933
1_4.mat,0.07145283
1_5.mat,0.11139458
1_6.mat,0.10447391
1_7.mat,0.13788085
1_8.mat,0.13796413
1_9.mat,0.13806500
1_10.mat,0.13796413
1_11.mat,0.13796413
1_12.mat,0.07880153
1_13.mat,0.13796413
1_14.mat,0.13796413
1_15.mat,0.13796413
1_16.mat,0.13796413
1_17.mat,0.05247603
1_18.mat,0.10585310
1_19.mat,0.08469231
1_20.mat,0.13796413
1_21.mat,0.13796413
1_22.mat,0.13796413
1_23.mat,0.11947608
1_24.mat,0.13796413
1_25.mat,0.10803646
1_26.mat,0.13796413
1_27.mat,0.09036155
1_28.mat,0.13796413
1_29.mat,0.13796413
1_30.mat,0.09052520
1_31.mat,0.13796413
1_32.mat,0.11621793
1_33.mat,0.13784833
1_34.mat,0.12735640
1_35.mat,0.13796413
1_36.mat,0.13796413
1_37.mat,0.11004290
1_38.mat,0.09781895
1_39.mat,0.03992035
1_40.mat,0.12706301
1_41.mat,0.13796413
1_42.mat,0.13796413
1_43.mat,0.11466700
1_44.mat,0.13796413
1_45.mat,0.13796413
1_46.mat,0.13513528
1_47.mat,0.09320766
1_48.mat,0.13796413
1_49.mat,0.13796413
1_50.mat,0.13796413
1_51.mat,0.04334463
1_52.mat,0.13486610
1_53.mat,0.13796413
1_54.mat,0.10442451
1_55.mat,0.12964775
1_56.mat,0.03953252
1_57.mat,0.12439235
1_58.mat,0.12837589
1_59.mat,0.13796413
1_60.mat,0.13801388
1_61.mat,0.13214330
1_62.mat,0.13437656
1_63.mat,0.08930669
1_64.mat,0.13816813
1_65.mat,0.09646663
1_66.mat,0.13796413
1_67.mat,0.10386664
1_68.mat,0.13796413
1_69.mat,0.13796413
1_70.mat,0.13796413
1_71.mat,0.06181979
1_72.mat,0.12517953
1_73.mat,0.13796413
1_74.mat,0.09220246
1_75.mat,0.13796413
1_76.mat,0.06880715
1_77.mat,0.08731618
1_78.mat,0.13130359
1_79.mat,0.10473533
1_80.mat,0.10435345
1_81.mat,0.08437619
1_82.mat,0.13796413
1_83.mat,0.13796413
1_84.mat,0.04181371
1_85.mat,0.05140575
1_86.mat,0.13796413
1_87.mat,0.13796413
1_88.mat,0.05851678
1_89.mat,0.10537312
1_90.mat,0.11854146
1_91.mat,0.05658264
1_92.mat,0.13796413
1_93.mat,0.09418285
1_94.mat,0.07337721
1_95.mat,0.07857007
1_96.mat,0.04657531
1_97.mat,0.13796413
1_98.mat,0.07886471
1_99.mat,0.04087305
1_100.mat,0.13796413
1_101.mat,0.13796413
1_102.mat,0.13796413
1_103.mat,0.13796413
1_104.mat,0.13796413
1_105.mat,0.13796413
1_106.mat,0.13289887
1_107.mat,0.08025867
1_108.mat,0.13796413
1_109.mat,0.13796413
1_110.mat,0.13796413
1_111.mat,0.13796413
1_112.mat,0.10273066
1_113.mat,0.13767600
1_114.mat,0.13796413
1_115.mat,0.13796413
1_116.mat,0.13796413
1_117.mat,0.13796413
1_118.mat,0.13803975
1_119.mat,0.05309662
1_120.mat,0.13798851
1_121.mat,0.13077445
1_122.mat,0.07825858
1_123.mat,0.13796413
1_124.mat,0.13188018
1_125.mat,0.10029248
1_126.mat,0.09821106
1_127.mat,0.13796413
1_128.mat,0.13055936
1_129.mat,0.13796413
1_130.mat,0.11719814
1_131.mat,0.13796413
1_132.mat,0.13796413
1_133.mat,0.07112274
1_134.mat,0.10151814
1_135.mat,0.12188467
1_136.mat,0.13813491
1_137.mat,0.13796413
1_138.mat,0.11352798
1_139.mat,0.13768019
1_140.mat,0.06354422
1_141.mat,0.13796413
1_142.mat,0.06840687
1_143.mat,0.13796413
1_144.mat,0.12864402
1_145.mat,0.12516710
1_146.mat,0.13796413
1_147.mat,0.13796413
1_148.mat,0.13796413
1_149.mat,0.13609235
1_150.mat,0.13796413
1_151.mat,0.13796413
1_152.mat,0.13796413
1_153.mat,0.13796413
1_154.mat,0.07410911
1_155.mat,0.13796413
1_156.mat,0.09987591
1_157.mat,0.13796413
1_158.mat,0.13796413
1_159.mat,0.09980790
1_160.mat,0.13796413
1_161.mat,0.08069545
1_162.mat,0.13796413
1_163.mat,0.11070595
1_164.mat,0.13415010
1_165.mat,0.13743401
1_166.mat,0.13664046
1_167.mat,0.10176434
1_168.mat,0.11465120
1_169.mat,0.11717740
1_170.mat,0.12854783
1_171.mat,0.13777398
1_172.mat,0.12810032
1_173.mat,0.12588643
1_174.mat,0.13796413
1_175.mat,0.08897939
1_176.mat,0.13620594
1_177.mat,0.09544615
1_178.mat,0.11563684
1_179.mat,0.05434808
1_180.mat,0.13796413
1_181.mat,0.13796413
1_182.mat,0.13796413
1_183.mat,0.13796413
1_184.mat,0.13796413
1_185.mat,0.13796413
1_186.mat,0.03292117
1_187.mat,0.12337881
1_188.mat,0.09852655
1_189.mat,0.13639052
1_190.mat,0.11325494
1_191.mat,0.13796413
1_192.mat,0.11436470
1_193.mat,0.13801649
1_194.mat,0.13796413
1_195.mat,0.13796413
1_196.mat,0.03474904
1_197.mat,0.03474133
1_198.mat,0.13796413
1_199.mat,0.13796413
1_200.mat,0.10291229
1_201.mat,0.13796413
1_202.mat,0.05578982
1_203.mat,0.10505834
1_204.mat,0.05324024
1_205.mat,0.13796464
1_206.mat,0.13442324
1_207.mat,0.12835118
1_208.mat,0.13796413
1_209.mat,0.07229345
1_210.mat,0.09180800
1_211.mat,0.13796413
1_212.mat,0.13796413
1_213.mat,0.13796413
1_214.mat,0.08879644
1_215.mat,0.13796413
1_216.mat,0.09034809
1_217.mat,0.13796413
1_218.mat,0.08476529
1_219.mat,0.13732633
1_220.mat,0.13796413
1_221.mat,0.06834969
1_222.mat,0.13735911
1_223.mat,0.13796413
1_224.mat,0.13796413
1_225.mat,0.11013843
1_226.mat,0.13796413
1_227.mat,0.05183548
1_228.mat,0.08234510
1_229.mat,0.13796413
1_230.mat,0.13796413
1_231.mat,0.13796413
1_232.mat,0.10548873
1_233.mat,0.10747977
1_234.mat,0.13796413
1_235.mat,0.13780032
1_236.mat,0.08485523
1_237.mat,0.13796413
1_238.mat,0.11400028
1_239.mat,0.08661290
1_240.mat,0.13796413
1_241.mat,0.06505359
1_242.mat,0.11719892
1_243.mat,0.13796413
1_244.mat,0.06508776
1_245.mat,0.08601892
1_246.mat,0.13796413
1_247.mat,0.13659619
1_248.mat,0.09386415
1_249.mat,0.13816851
1_250.mat,0.13796413
1_251.mat,0.13796413
1_252.mat,0.13796413
1_253.mat,0.13796413
1_254.mat,0.10062097
1_255.mat,0.07052942
1_256.mat,0.11443528
1_257.mat,0.13796413
1_258.mat,0.13796413
1_259.mat,0.13796413
1_260.mat,0.05427650
1_261.mat,0.13796413
1_262.mat,0.08019511
1_263.mat,0.11729962
1_264.mat,0.13796413
1_265.mat,0.06246074
1_266.mat,0.07211964
1_267.mat,0.13796413
1_268.mat,0.07931200
1_269.mat,0.10014888
1_270.mat,0.13796413
1_271.mat,0.13796413
1_272.mat,0.01890177
1_273.mat,0.08345598
1_274.mat,0.12532416
1_275.mat,0.05943072
1_276.mat,0.04453021
1_277.mat,0.08795810
1_278.mat,0.11525181
1_279.mat,0.13796413
1_280.mat,0.13796413
1_281.mat,0.13796413
1_282.mat,0.09850451
1_283.mat,0.13796413
1_284.mat,0.13796413
1_285.mat,0.13811743
1_286.mat,0.05390312
1_287.mat,0.12295280
1_288.mat,0.08091062
1_289.mat,0.08879644
1_290.mat,0.13796413
1_291.mat,0.07488026
1_292.mat,0.13796413
1_293.mat,0.11529040
1_294.mat,0.13796413
1_295.mat,0.05244333
1_296.mat,0.08946148
1_297.mat,0.13796413
1_298.mat,0.10985918
1_299.mat,0.07878054
1_300.mat,0.13125195
1_301.mat,0.11556876
1_302.mat,0.07038142
1_303.mat,0.13771494
1_304.mat,0.13796413
1_305.mat,0.10353496
