Id,patient_id,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,file_size,result
101000,1,-9.83683e-07,0.0189918,0.110199,-0.0703443,0.121276,-0.08582,-0.0471747,-0.205775,-0.12423,-0.228838,-0.246326,0.287571,0.369416,0.294296,0.203893,0.0482357,5418390,0
101001,1,-3.19417e-07,0.00100684,0.0913381,-0.0578196,0.105846,-0.0736435,-0.0403796,-0.163876,-0.102864,-0.190075,-0.222897,0.260204,0.314018,0.240331,0.16433,0.0414783,5393712,0
101002,1,3.66211e-08,0.00100977,0.114871,-0.0685209,0.111151,-0.0934902,-0.0442186,-0.218289,-0.133341,-0.236893,-0.274686,0.316804,0.384756,0.328621,0.218247,0.0717839,5407048,0
101003,1,3.78418e-07,-0.00868437,0.0590241,-0.0910804,0.0423965,-0.0900624,-0.0123115,-0.138938,-0.082879,-0.166398,-0.107288,0.113592,0.311744,0.195759,0.215041,0.0448548,3371504,0
101004,1,-1.14339e-06,-0.0129345,0.0613384,-0.0577825,0.0436153,-0.0776503,-0.0201464,-0.126507,-0.0827214,-0.155664,-0.117349,0.141675,0.266178,0.177861,0.185262,0.0433221,4084352,0
101005,1,-8.18888e-07,-0.0190446,0.078182,-0.109051,0.0629369,-0.130842,-0.0281368,-0.201675,-0.121519,-0.241054,-0.173468,0.197714,0.444868,0.293441,0.308872,0.0673323,5599916,0
101006,1,1.59912e-06,-0.017016,0.0910396,-0.110001,0.0665371,-0.130095,-0.0275486,-0.202869,-0.121153,-0.232822,-0.192382,0.213907,0.422013,0.287921,0.303413,0.0809766,5610198,0
101007,1,5.69661e-08,-0.0176247,0.0831974,-0.106144,0.073061,-0.109278,-0.0318867,-0.188772,-0.10698,-0.210402,-0.173124,0.200434,0.373412,0.273479,0.276316,0.054565,5164759,0
101008,1,3.479e-07,0.00200398,0.0461785,-0.0492468,0.0444668,-0.0398831,-0.0145834,-0.0828712,-0.0518874,-0.0918872,-0.0835241,0.102959,0.154382,0.123574,0.1047,0.0176455,3254940,0
101009,1,1.05286e-06,-0.00321346,0.105356,-0.0561697,0.139123,-0.0739249,-0.0492474,-0.238166,-0.1291,-0.267843,-0.272105,0.301897,0.388413,0.367831,0.250536,0.054799,5544375,0
100100,1,-2.76693e-07,0.0285456,0.12269,-0.0803806,0.0862664,-0.123009,-0.0290249,-0.247959,-0.130432,-0.263486,-0.196961,0.186818,0.486759,0.297833,0.257489,0.0510883,5795748,0
100100,1,2.7771e-06,0.0821199,0.21984,-0.0628751,0.0772211,-0.115089,0.0162229,-0.313068,-0.0781835,-0.21505,-0.224199,0.263479,0.30659,0.285726,0.223748,-0.0668703,6120946,1
101010,1,7.00887e-07,-0.0259684,0.0941403,-0.114259,0.0731865,-0.147175,-0.0416947,-0.245965,-0.148612,-0.289424,-0.203042,0.243055,0.513649,0.35994,0.349966,0.0779311,5720098,0
101011,1,1.08032e-06,-0.0138245,0.093498,-0.119085,0.0626458,-0.134234,-0.0330523,-0.20532,-0.114588,-0.218351,-0.194788,0.222752,0.439387,0.282866,0.281079,0.0842772,5548410,0
101012,1,-1.04421e-06,-0.020982,0.0910718,-0.0967921,0.0565278,-0.126059,-0.0376323,-0.194821,-0.106299,-0.205177,-0.170198,0.187399,0.405759,0.268152,0.285705,0.0693302,5111712,0
101013,1,-1.7039e-07,-0.000599753,0.0089709,-0.0142747,0.00705822,-0.0158458,-0.00298758,-0.0223041,-0.0140877,-0.0282377,-0.0249163,0.0289629,0.0516459,0.0291292,0.0384663,0.0112211,811632,0
101014,1,9.05355e-08,0.000570512,0.032463,-0.0273507,0.0256665,-0.0344793,-0.00701697,-0.060371,-0.038442,-0.0739496,-0.0605046,0.0842511,0.125654,0.0777837,0.0704037,0.0209332,1969826,0
101015,1,4.60815e-07,0.0124883,0.0532622,-0.0513206,0.0506287,-0.0481796,-0.00246285,-0.0900952,-0.0607669,-0.102238,-0.106045,0.108999,0.214204,0.131755,0.097745,0.0114573,3945016,0
101016,1,-4.57764e-08,0.000174121,0.0640581,-0.0505958,0.0577286,-0.072362,-0.00600519,-0.112466,-0.0821822,-0.143164,-0.12676,0.126558,0.267865,0.168146,0.153979,0.0225949,4551605,0
